review_content,review_rating,raw_cooking_surface,overall_cooking_surface,cooking_surface_opinion,cooking_surface,raw_portability,overall_portability,portability_opinion,portability,raw_heat_control,overall_heat_control,heat_control_opinion,heat_control,raw_durability,overall_durability,durability_opinion,durability,raw_accessories,overall_accessories,accessories_opinion,accessories
Assembled very poorly and damaged: Arrived dented on various spots - grill cover is bent and won’t close all the way. Missing screws. Side table not stable.[Rating - 1/5],1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the grill cover is bent and won't close all the way, but does not specifically mention the cooking surface.
3. The sentiment on cooking_surface is NOT MENTIONED.",NEGATIVE,"The reviewer mentions that the grill cover is bent and won't close all the way, but does not specifically mention the cooking surface.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention the heat_control aspect of the product.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the heat_control aspect of the product.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the griddle arrived dented, the grill cover is bent and won't close properly, missing screws, and the side table is not stable.
3. The reviewer's opinion on the durability is NEGATIVE.",NEGATIVE,"The reviewer mentions that the griddle arrived dented, the grill cover is bent and won't close properly, missing screws, and the side table is not stable.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the grill cover is bent and won't close all the way, and the side table is not stable. 
3. The reviewer's opinion on the accessories is NEGATIVE",NEGATIVE,"The reviewer mentions that the grill cover is bent and won't close all the way, and the side table is not stable. ",NEGATIVE
"Amazing grill, but don’t buy it from Lowes: I absolutely love this product, but I would buy it directly from Blackstone and not Lowes. We had ours delivered assembled, and the top was warped. Lowes said we could return it, or call Blackstone directly. Lowes didn’t care one bit that we were delivered a $600 grill with a top that didn’t close properly. We did call Blackstone, and their customer service is amazing. They are taking care of the problem that Lowes didn’t care one bit about.[Rating - 5/5]",5,"1. The overall review is POSITIVE.
2. The reviewer mentions that the top of the grill was warped.
3. The sentiment on cooking_surface is NEGATIVE.",POSITIVE,The reviewer mentions that the top of the grill was warped.,NEGATIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that they had the grill delivered assembled and had an issue with the top being warped.
3. The reviewer's opinion on the portability is NEGATIVE as they had an issue with the top being warped during delivery, which affected the functionality of the grill.",POSITIVE,The reviewer mentions that they had the grill delivered assembled and had an issue with the top being warped.,NEGATIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the top of the grill was warped, indicating an issue with the heat_control.
3. The reviewer's opinion on the heat_control is NEGATIVE, as they had an issue with the top not closing properly due to warping.",POSITIVE,"The reviewer mentions that the top of the grill was warped, indicating an issue with the heat_control.",NEGATIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the top of the grill was warped when delivered, indicating a potential issue with the durability.
3. The reviewer's opinion on the durability is NEGATIVE, as they experienced a problem with the top of the grill not closing properly.",POSITIVE,"The reviewer mentions that the top of the grill was warped when delivered, indicating a potential issue with the durability.",NEGATIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they had the grill delivered assembled, but the top was warped. They also mention that they had a problem with the top not closing properly.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,"The reviewer mentions that they had the grill delivered assembled, but the top was warped. They also mention that they had a problem with the top not closing properly.",NOT MENTIONED
side panels- horrible instructions: absolute disaster as far as instructions go- the pieces had letters the instructions had numbers. Side panels did not add up to the holes on the sides.[Rating - 2/5],2,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention the cooking_surface.
3. Sentiment on cooking_surface is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the cooking_surface.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. The sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention the heat_control aspect of the product.
3. The sentiment on heat_control is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention the heat_control aspect of the product.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions the side panels having issues with the instructions and not aligning properly with the holes on the sides.
3. The reviewer's opinion on the durability is NEGATIVE as the side panels did not fit properly due to the confusing instructions and mismatched pieces.",NEGATIVE,The reviewer mentions the side panels having issues with the instructions and not aligning properly with the holes on the sides.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions the side panels and the instructions for assembling them.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",NEGATIVE,The reviewer mentions the side panels and the instructions for assembling them.,NOT MENTIONED
Not as good as expected: It’s a nice grill overall but for the price I expected it to be nicer. The first issue I ran into was the holes not lining up during the assembly. I had to drill out a couple of holes in order to get the pieces to go together. The only other issue I have is how it cooks. I bought the carnivore model because it advertised more even heating across the griddle top. Unfortunately that’s not the case. The items in the middle of the grill cook quite a bit quicker then the items on the outside of the grill.[Rating - 3/5],3,"1. The overall review is NEGATIVE
2. The reviewer talks about the cooking_surface not heating evenly and items in the middle cooking quicker than items on the outside.
3. Sentiment on cooking_surface is NEGATIVE",NEGATIVE,The reviewer talks about the cooking_surface not heating evenly and items in the middle cooking quicker than items on the outside.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer talks about the heat_control in terms of even heating across the griddle top.
3. The reviewer's opinion on the heat_control is NEGATIVE",NEGATIVE,The reviewer talks about the heat_control in terms of even heating across the griddle top.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions the issue of holes not lining up during assembly and having to drill holes to get the pieces to go together. 
3. The reviewer's opinion on durability is NEGATIVE as they had issues with the assembly and the griddle not heating evenly as advertised.",NEGATIVE,The reviewer mentions the issue of holes not lining up during assembly and having to drill holes to get the pieces to go together. ,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention any accessories in the review.
3. Not mentioned.",,,
"Nice and simple.: My initial impression of my new griddle is good. The assembly of the cabinet and accessories was a little fiddly, but was fairly simple. Also, the assembly only required a screwdriver which made things easy. I was concerned of the sturdiness of the sheet metal construction, but it ended up quite rigid. The seasoning process was easy, though a little uncomfortable with the heat. Finally, the cooking was excellent. The griddle heats up quickly and is easy to use. The food turned out great, and I can’t wait to cook on it again tomorrow.[Rating - 4/5]",4,"1. The overall review is POSITIVE
2. The reviewer talks about the sturdiness, seasoning process, and cooking performance of the griddle.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,"The reviewer talks about the sturdiness, seasoning process, and cooking performance of the griddle.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle heats up quickly and is easy to use.
3. The reviewer's opinion on the heat_control is POSITIVE",POSITIVE,The reviewer mentions that the griddle heats up quickly and is easy to use.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they were concerned about the sturdiness of the sheet metal construction, but found it to be quite rigid.
3. Sentiment on durability is POSITIVE",POSITIVE,"The reviewer mentions that they were concerned about the sturdiness of the sheet metal construction, but found it to be quite rigid.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the assembly of the cabinet and accessories was a little fiddly but fairly simple. 
3. The reviewer's opinion on the accessories is NEUTRAL",POSITIVE,The reviewer mentions that the assembly of the cabinet and accessories was a little fiddly but fairly simple. ,NEUTRAL
"Save the backyard cookout: It’s simple really, throw some fire on the largest flat piece of iron you can fit in the back of a car, add a table and some storage area. Boom you have a gadget that can cook an immense amount of food for a ton of people. Very effective piece of equipment, priced reasonably for your average Joe, and huge, it’s huge. Heat profile is great and the omnivore plate is a game changer don’t buy one new without it, requires a bit of pre care and after care when cooking but it’s the same as anything else, take care of it and it will take care of you. Love it, absolutely love it[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer talks about the cooking surface being the largest flat piece of iron that can fit in the back of a car, and mentions that it can cook an immense amount of food for a ton of people.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,"The reviewer talks about the cooking surface being the largest flat piece of iron that can fit in the back of a car, and mentions that it can cook an immense amount of food for a ton of people.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the griddle is ""huge"" and can fit in the back of a car.
3. The reviewer's opinion on the portability is POSITIVE.",POSITIVE,"The reviewer mentions that the griddle is ""huge"" and can fit in the back of a car.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the heat profile is great.
3. Sentiment on heat_control is POSITIVE",POSITIVE,The reviewer mentions that the heat profile is great.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle is a very effective piece of equipment and that it requires a bit of pre care and after care when cooking.
3. Sentiment on durability is POSITIVE",POSITIVE,The reviewer mentions that the griddle is a very effective piece of equipment and that it requires a bit of pre care and after care when cooking.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions the omnivore plate as a game changer and recommends not buying the griddle new without it.
3. Sentiment on accessories is POSITIVE",POSITIVE,The reviewer mentions the omnivore plate as a game changer and recommends not buying the griddle new without it.,POSITIVE
"Great delivery team, salesman and product: The delivery guys were very patient with my many questions, much appreciation to them! We haven’t used the griddle yet but are looking forward to it!  From the salesman to delivery men, the experience was great! Now looking forward to cooking some great food.[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that they haven't used the griddle yet but are looking forward to it.
3. Sentiment on cooking_surface is NEUTRAL",POSITIVE,The reviewer mentions that they haven't used the griddle yet but are looking forward to it.,NEUTRAL,"1. The overall review is POSITIVE.
2. The reviewer mentions that they haven't used the griddle yet, so they do not specifically talk about the portability of the product.
3. The reviewer does not mention anything about the portability of the griddle, so the sentiment on portability is NOT MENTIONED.",POSITIVE,"The reviewer mentions that they haven't used the griddle yet, so they do not specifically talk about the portability of the product.",NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that they haven't used the griddle yet, so there is no specific mention of the heat_control feature.
3. The reviewer does not mention their opinion on the heat_control feature.",POSITIVE,"The reviewer mentions that they haven't used the griddle yet, so there is no specific mention of the heat_control feature.",NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that they haven't used the griddle yet, so there is no specific mention of durability.
3. The reviewer's opinion on durability is NOT MENTIONED",POSITIVE,"The reviewer mentions that they haven't used the griddle yet, so there is no specific mention of durability.",NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer does not mention any specific accessories in the review.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,The reviewer does not mention any specific accessories in the review.,NOT MENTIONED
Performance 10/10 Extra could be better!!!: For spending as much $$$ as I did they could be a little better made. The paint job is 5/10 because the finish is a cast iron type flat paint it does not clean up easy. Gets dusty easy and little hard to clean. The wheels are 2/10!!! Not easy to roll across concrete patio. For $$$ they could have put better wheels. The performance of the grill itself is 10/10[Rating - 4/5],4,"1. The overall review is NEGATIVE
2. The reviewer mentions the paint job, wheels, and performance of the grill itself.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",NEGATIVE,"The reviewer mentions the paint job, wheels, and performance of the grill itself.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer talks about the wheels of the grill, mentioning that they are not easy to roll across a concrete patio.
3. The reviewer's opinion on the portability is NEGATIVE.",NEGATIVE,"The reviewer talks about the wheels of the grill, mentioning that they are not easy to roll across a concrete patio.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention the heat_control aspect of the product.
3. The sentiment on heat_control is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention the heat_control aspect of the product.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the wheels are not easy to roll across the concrete patio and that the paint job is not easy to clean.
3. The reviewer's opinion on durability is NEGATIVE.",NEGATIVE,The reviewer mentions that the wheels are not easy to roll across the concrete patio and that the paint job is not easy to clean.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that for the amount of money spent, the accessories could be better made.
3. The reviewer's opinion on the accessories is NEGATIVE.",NEGATIVE,"The reviewer mentions that for the amount of money spent, the accessories could be better made.",NEGATIVE
"Being asked to review a product I just bought: You might as well move to the next review, I just got it set up so if you want to hear about that then I’m your man! It was a long process to assemble but simple enough. I like there is a paper towel holder and trash bag holder on either side that they didn’t have in the store (Lowe’s) so that was cool to see. My old blackstone is worn out so that’s why I got this one. Adjusting legs on the table is a nice feature too[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions the features of the cooking surface, such as the size, material, heat distribution, and non-stick properties.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,"The reviewer mentions the features of the cooking surface, such as the size, material, heat distribution, and non-stick properties.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle has a paper towel holder and trash bag holder on either side, which they found to be a cool feature.
3. The reviewer's opinion on portability is POSITIVE, as they specifically mention that adjusting the legs on the table is a nice feature.",POSITIVE,"The reviewer mentions that the griddle has a paper towel holder and trash bag holder on either side, which they found to be a cool feature.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that adjusting the legs on the table is a nice feature.
3. Sentiment on heat_control is POSITIVE",POSITIVE,The reviewer mentions that adjusting the legs on the table is a nice feature.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that their old blackstone is worn out, indicating that durability is a factor they consider.
3. The reviewer's opinion on durability is POSITIVE, as they appreciate features like the paper towel holder, trash bag holder, and adjustable legs on the table, suggesting that they find the griddle to be sturdy and long-lasting.",POSITIVE,"The reviewer mentions that their old blackstone is worn out, indicating that durability is a factor they consider.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about the paper towel holder and trash bag holder on either side, as well as the adjustable legs on the table.
3. Sentiment on accessories is POSITIVE",POSITIVE,"The reviewer talks about the paper towel holder and trash bag holder on either side, as well as the adjustable legs on the table.",POSITIVE
"Lid isies: I cannot keep the lid on the grill. It pushes down pretty hard on the grease trap and also blocks off the flow of grease to the grease trap.  If I leave the lid on, grease would get all over it.  In order to use the grill, I have to remove the lid every time. Not ideal 

The rest of the grill is great. Unfortunately, for the money, this little detail should not be an issue. Pretty disappointing.[Rating - 2/5]",2,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lid does not stay on the grill properly and causes issues with the grease trap.
3. Sentiment on cooking_surface is NOT MENTIONED",NEGATIVE,The reviewer mentions that the lid does not stay on the grill properly and causes issues with the grease trap.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the lid is difficult to keep on the grill due to issues with the grease trap and flow of grease.
3. The reviewer's opinion on the portability is NEGATIVE as they have to remove the lid every time they use the grill, which is not ideal.",NEGATIVE,The reviewer mentions that the lid is difficult to keep on the grill due to issues with the grease trap and flow of grease.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention the heat_control aspect of the grill.
3. The sentiment on heat_control is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention the heat_control aspect of the grill.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that the lid does not stay on the grill properly and has issues with the grease trap.
3. The reviewer's opinion on the durability is NEGATIVE as they feel that for the money spent, the lid should not be an issue and find it pretty disappointing.",NEGATIVE,The reviewer mentions that the lid does not stay on the grill properly and has issues with the grease trap.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions the lid as an accessory that is causing issues with the grill.
3. The reviewer's opinion on the accessories is NEGATIVE.",NEGATIVE,The reviewer mentions the lid as an accessory that is causing issues with the grill.,NEGATIVE
