review_content,review_rating,raw_cooking_surface,overall_cooking_surface,cooking_surface_opinion,cooking_surface,raw_portability,overall_portability,portability_opinion,portability,raw_heat_control,overall_heat_control,heat_control_opinion,heat_control,raw_durability,overall_durability,durability_opinion,durability,raw_accessories,overall_accessories,accessories_opinion,accessories
"Smoking: I purchased and got the smoker delivered and already built, for Free! The delivery crew was even nice enough to place the Pit Boss smoker in my backyard. I was able to start smoking right away. It is very well made and does not wobble. The Pit Boss app was easy to set up and get running within 5 minutes. The ability to control the temperature and not worry about the smoker getting too hot or too cold was the main reason I chose this smoker, along with the strong materials used.The probe that cam...[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the Pit Boss smoker has a well-made cooking surface that does not wobble.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,The reviewer mentions that the Pit Boss smoker has a well-made cooking surface that does not wobble.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer talks about the ability to control the temperature of the smoker and not worry about it getting too hot or too cold.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,The reviewer talks about the ability to control the temperature of the smoker and not worry about it getting too hot or too cold.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer talks about the durability of the smoker, mentioning that it is very well made, does not wobble, and is made of strong materials.
3. The reviewer's opinion on the durability is POSITIVE",POSITIVE,"The reviewer talks about the durability of the smoker, mentioning that it is very well made, does not wobble, and is made of strong materials.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not mention any specific accessories in the review.
3. Since the reviewer does not mention any accessories, the sentiment on accessories is NOT MENTIONED.",POSITIVE,The reviewer does not mention any specific accessories in the review.,NOT MENTIONED
"Great Pellet Grill!: Great pellet grill! It was a relatively easy process assembling the grill. I needed assistance a couple of times putting the legs on. This is the first pellet grill I’ve ever owned or used. I’ve used a gas smoker many years ago to smoke, turkeys, chickens, ribs, and pork shoulders. I never smoked a brisket in it. For my very first cook with this smoker I did a whole brisket, two slabs of baby back ribs, and a whole chicken. Everything turned out perfect. There were no leftovers. I used Pit Boss ...[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions using the cooking surface to cook a whole brisket, two slabs of baby back ribs, and a whole chicken.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,"The reviewer mentions using the cooking surface to cook a whole brisket, two slabs of baby back ribs, and a whole chicken.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they needed assistance a couple of times putting the legs on the grill, but does not specifically talk about the portability in terms of moving or transporting the grill.
3. The sentiment on portability is NOT MENTIONED",POSITIVE,"The reviewer mentions that they needed assistance a couple of times putting the legs on the grill, but does not specifically talk about the portability in terms of moving or transporting the grill.",NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that they used the pellet grill for their very first cook, which included a whole brisket, two slabs of baby back ribs, and a whole chicken.
3. The reviewer's opinion on the heat_control is POSITIVE, as they mention that everything turned out perfect with no leftovers, indicating that the heat control allowed for consistent and even cooking results.",POSITIVE,"The reviewer mentions that they used the pellet grill for their very first cook, which included a whole brisket, two slabs of baby back ribs, and a whole chicken.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the grill was relatively easy to assemble and that they needed assistance a couple of times with putting the legs on. They also mention that this is the first pellet grill they have ever owned or used.
3. The reviewer does not specifically mention the durability of the grill, so the sentiment on durability is NOT MENTIONED.",POSITIVE,The reviewer mentions that the grill was relatively easy to assemble and that they needed assistance a couple of times with putting the legs on. They also mention that this is the first pellet grill they have ever owned or used.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not mention any specific accessories in the review.
3. Sentiment on accessories is NOT MENTIONED",POSITIVE,The reviewer does not mention any specific accessories in the review.,NOT MENTIONED
"Pro series 850: It’s bigger than what I need I could have gone with a 700 but they don’t make a Pro Series 700. Top rack grill is too close to the main grill you can barely fit a spatchcock cock on the main grill with the top rack on. Now I just cook with out the top rack. Other than that it’s a pretty good grill, there’s a couple things I would change but that’s just me and the way I like to cook doesn’t mean everyone would like to change them also.[Rating - 3/5]",3,"1. The overall review is NEUTRAL.
2. The reviewer mentions that the top rack grill is too close to the main grill, making it difficult to fit certain items on the main grill.
3. The reviewer's opinion on the cooking_surface is NEGATIVE.",NEUTRAL,"The reviewer mentions that the top rack grill is too close to the main grill, making it difficult to fit certain items on the main grill.",NEGATIVE,"1. The overall review is NEUTRAL.
2. The reviewer does not specifically mention portability in the review.
3. The sentiment on portability is NOT MENTIONED.",NEUTRAL,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer mentions that the top rack grill is too close to the main grill, making it difficult to fit certain items on the main grill.
3. The reviewer does not specifically mention the heat_control aspect of the grill, so it is NOT MENTIONED.",NEUTRAL,"The reviewer mentions that the top rack grill is too close to the main grill, making it difficult to fit certain items on the main grill.",NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer mentions that the grill is pretty good overall, but there are a couple of things they would change.
3. The reviewer does not specifically mention the durability of the grill, so the sentiment on durability is NOT MENTIONED.",NEUTRAL,"The reviewer mentions that the grill is pretty good overall, but there are a couple of things they would change.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the top rack grill is too close to the main grill, making it difficult to fit certain items on the main grill.
3. The reviewer's opinion on the accessories is NEGATIVE as they find the top rack grill to be too close to the main grill, impacting the functionality of the grill.",NEGATIVE,"The reviewer mentions that the top rack grill is too close to the main grill, making it difficult to fit certain items on the main grill.",NEGATIVE
"Issue is with Lowes: I'm sure this grill will be great but, would recommend getting it elsewhere.  Was supposed to get Tuesday but, driver said it was not assembled (included with the purchase).  Then we rescheduled for Saturday.  Was delivered Friday and still not assembled.  I'll assemble myself but this will probably be the last thing I buy from Lowe's.  Really disappointed in the service.[Rating - 2/5]",2,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention the cooking_surface.
3. Since the reviewer does not mention the cooking_surface, the sentiment on cooking_surface is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the cooking_surface.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions the issue with the delivery and assembly of the grill, but does not specifically talk about the portability of the product.
3. The sentiment on portability is NOT MENTIONED.",NEGATIVE,"The reviewer mentions the issue with the delivery and assembly of the grill, but does not specifically talk about the portability of the product.",NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention the heat_control aspect of the grill.
3. The sentiment on heat_control is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the heat_control aspect of the grill.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions the issue with the grill not being assembled as promised by Lowe's.
3. The reviewer's opinion on the durability is NOT MENTIONED.",NEGATIVE,The reviewer mentions the issue with the grill not being assembled as promised by Lowe's.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the grill was supposed to come assembled as part of the purchase, but it was not assembled when delivered.
3. The reviewer's opinion on the accessories is NEGATIVE, as they were disappointed that the grill was not assembled as expected.",NEGATIVE,"The reviewer mentions that the grill was supposed to come assembled as part of the purchase, but it was not assembled when delivered.",NEGATIVE
"Great smoker/grill but expect some dripping grease: THe Pit Boss cooks very well and this size and finish is great. However, the smoker has an ongoing problem with the smoke exhaust pipe causing grease to drip down. I have adjusted the height levels and it always drips grease. I am 50/50 whether I am satisfied with this purchase at this time.[Rating - 4/5]",4,"1. The overall review is NEUTRAL.
2. The reviewer mentions that the size and finish of the cooking surface is great.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",NEUTRAL,The reviewer mentions that the size and finish of the cooking surface is great.,POSITIVE,"1. The overall review is NEUTRAL.
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",NEUTRAL,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer mentions adjusting the height levels to try to address the issue of dripping grease.
3. The reviewer's opinion on the heat_control is NEGATIVE as they mention ongoing problems with grease dripping down despite adjusting the height levels.",NEUTRAL,The reviewer mentions adjusting the height levels to try to address the issue of dripping grease.,NEGATIVE,"1. The overall review is NEUTRAL.
2. The reviewer mentions that the Pit Boss smoker/grill cooks very well and the size and finish are great. However, there is an ongoing problem with the smoke exhaust pipe causing grease to drip down.
3. The reviewer's opinion on the durability is NOT MENTIONED.",NEUTRAL,"The reviewer mentions that the Pit Boss smoker/grill cooks very well and the size and finish are great. However, there is an ongoing problem with the smoke exhaust pipe causing grease to drip down.",NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer does not mention any accessories in the review.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",NEUTRAL,The reviewer does not mention any accessories in the review.,NOT MENTIONED
"HORRIBLE GRILLS: Pit Boss has made me hate smoking. Every time I use it the grill won’t keep temp, it’s always about 20° off and fluctuates from there. It always has atleast 1 error and shuts down in the middle of the cook so I have to constantly watch it. When I tried to use the app to control the grill early on, it would send the temp down to 5° randomly without alerting me, ruining the meat. I can’t believe that they can even legally sell these horrible smokers. Lowe’s should dump this brand ASAP. If you have...[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the grill won't keep temperature, is always off by about 20°, fluctuates, and has at least 1 error.
3. Sentiment on cooking_surface is NEGATIVE",NEGATIVE,"The reviewer mentions that the grill won't keep temperature, is always off by about 20°, fluctuates, and has at least 1 error.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention portability in the review.
3. The sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the grill won't keep temperature, is always off by about 20°, fluctuates, and has at least 1 error.
3. The reviewer's opinion on the heat_control is NEGATIVE as they mention that the grill won't keep temperature, is always off by about 20°, fluctuates, and has at least 1 error.",NEGATIVE,"The reviewer mentions that the grill won't keep temperature, is always off by about 20°, fluctuates, and has at least 1 error.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the grill won't keep temperature, has errors, shuts down in the middle of cooking, and has issues with the app controlling the grill.
3. The reviewer's opinion on durability is NEGATIVE as they mention multiple issues with the functionality and performance of the grill.",NEGATIVE,"The reviewer mentions that the grill won't keep temperature, has errors, shuts down in the middle of cooking, and has issues with the app controlling the grill.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not mention any accessories in the review.
3. Not mentioned",NEGATIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
"Fan malfunctioning: I was very excited to get this pellet grill, I had always wanted one. I started it up to do the burn off and never was able to complete that task. The grill would shut off at about 350 degrees with a fan error. I let it cool down and check for a blockage, found nothing.  I tried this 3 more times and no luck. I am sending this back and will not purchase another one of these. Going back to the gas grill.[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention the cooking_surface.
3. Since the reviewer does not mention the cooking_surface, the sentiment on cooking_surface is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the cooking_surface.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the grill would shut off at about 350 degrees with a fan error, indicating an issue with the heat control.
3. The reviewer's opinion on the heat_control is NEGATIVE as they were unable to complete the burn off task due to the grill shutting off with a fan error.",NEGATIVE,"The reviewer mentions that the grill would shut off at about 350 degrees with a fan error, indicating an issue with the heat control.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the fan of the pellet grill malfunctioned, causing the grill to shut off at 350 degrees.
3. The reviewer's opinion on the durability is NEGATIVE as the fan malfunctioned after only a short period of use.",NEGATIVE,"The reviewer mentions that the fan of the pellet grill malfunctioned, causing the grill to shut off at 350 degrees.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention anything about accessories in the review.
3. Since the reviewer does not mention anything about accessories, the sentiment on accessories is NOT MENTIONED.",NEGATIVE,The reviewer does not mention anything about accessories in the review.,NOT MENTIONED
"Very unprofessional staff: I bought the pit boss pro series 850 pellet grill on 5/22, I was told that it would be delivered the next day, but on the delivery date it changed to 5/25. The grill only smokes after two hours and will not heat at all, the fan is not engaging. I've tried to contact lowes customer service but six times now, a young woman answered once. When I  told her the reason for the call she put me on hold for forty minutes this was the first call. Now no one will answer the call also when I asked the recor...[Rating - 1/5]",1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the grill only smokes after two hours and will not heat at all, and that the fan is not engaging.
3. The reviewer's opinion on the cooking_surface is NEGATIVE as they are experiencing issues with the grill not heating properly and the fan not engaging.",NEGATIVE,"The reviewer mentions that the grill only smokes after two hours and will not heat at all, and that the fan is not engaging.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. The sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that the grill only smokes after two hours and will not heat at all, indicating an issue with the heat control.
3. The reviewer's opinion on the heat_control is NEGATIVE.",NEGATIVE,"The reviewer mentions that the grill only smokes after two hours and will not heat at all, indicating an issue with the heat control.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the grill only smokes after two hours, will not heat at all, and the fan is not engaging.
3. The reviewer's opinion on the durability is NEGATIVE as the grill is not functioning properly shortly after purchase.",NEGATIVE,"The reviewer mentions that the grill only smokes after two hours, will not heat at all, and the fan is not engaging.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention any accessories in the review.
3. The sentiment on accessories is NOT MENTIONED.",NEGATIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
"Very nice, easy assembly.: Bought this for my Husband for Father's day. The assembly was easy. Took less than an hour to assemble. We have used it three times so far and we have not had any issues. Fires up immediately and heats up quick. We have Bluetooth set up to check the probe temp, that is working great on the app.  Very nice for the price.[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the cooking surface heats up quickly and that they have not had any issues with it.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,The reviewer mentions that the cooking surface heats up quickly and that they have not had any issues with it.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle fires up immediately and heats up quickly.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,The reviewer mentions that the griddle fires up immediately and heats up quickly.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the assembly was easy, the griddle fires up immediately, heats up quickly, and they have used it three times without any issues.
3. The reviewer's opinion on durability is POSITIVE",POSITIVE,"The reviewer mentions that the assembly was easy, the griddle fires up immediately, heats up quickly, and they have used it three times without any issues.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that they have Bluetooth set up to check the probe temp, which enhances the functionality and convenience of the griddle.
3. The reviewer's opinion on the accessories is POSITIVE.",POSITIVE,"The reviewer mentions that they have Bluetooth set up to check the probe temp, which enhances the functionality and convenience of the griddle.",POSITIVE
Pit Boss Grills are awesome grills.: This is an other awesome grill from Pit-Boss and with a $100.00 off even better.[Rating - 5/5],5,"1. The overall review is POSITIVE.
2. The reviewer mentions that the Pit Boss Grill is an awesome grill.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",POSITIVE,The reviewer mentions that the Pit Boss Grill is an awesome grill.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the grill is awesome and that there is a $100.00 off deal.
3. The reviewer does not specifically mention portability in the review, so it is NOT MENTIONED.",POSITIVE,The reviewer mentions that the grill is awesome and that there is a $100.00 off deal.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the grill is awesome and with a $100.00 off, even better.
3. The reviewer does not specifically mention the heat_control aspect of the grill, so it is NOT MENTIONED.",POSITIVE,"The reviewer mentions that the grill is awesome and with a $100.00 off, even better.",NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the Pit Boss Grill is an awesome grill.
3. The reviewer's opinion on durability is POSITIVE.",POSITIVE,The reviewer mentions that the Pit Boss Grill is an awesome grill.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that this Pit Boss grill comes with a $100.00 off, which enhances its value.
3. The reviewer's opinion on the accessories is POSITIVE.",POSITIVE,"The reviewer mentions that this Pit Boss grill comes with a $100.00 off, which enhances its value.",POSITIVE
